,lat,lon,fire_x,fire_y,I4,I5,D/N
92,49.50578,-101.989555,484,5877,290.69492,284.62613,False
93,49.50578,-101.989555,484,5877,290.69492,284.62613,False
94,49.0857,-101.102165,516,6027,290.4103,284.90182,False
95,49.0857,-101.102165,516,6027,290.4103,284.90182,False
96,49.0857,-101.102165,516,6027,290.4103,284.90182,False
97,49.0857,-101.102165,516,6027,290.4103,284.90182,False
98,49.0857,-101.102165,516,6027,290.4103,284.90182,False
99,49.114437,-101.29419,523,6002,292.3839,285.1784,False
100,49.114437,-101.29419,523,6002,292.3839,285.1784,False
101,49.114437,-101.29419,523,6002,292.3839,285.1784,False
102,49.114437,-101.29419,523,6002,292.3839,285.1784,False
103,49.114437,-101.29419,523,6002,292.3839,285.1784,False
104,50.38908,-105.541595,540,5209,290.4389,283.97803,False
105,50.38908,-105.541595,540,5209,290.4389,283.97803,False
106,50.38908,-105.541595,540,5209,290.4389,283.97803,False
107,50.38908,-105.541595,540,5209,290.4389,283.97803,False
108,50.38908,-105.541595,540,5209,290.4389,283.97803,False
109,49.41164,-102.74318,569,5788,290.83774,284.17337,False
110,49.41164,-102.74318,569,5788,290.83774,284.17337,False
111,49.41164,-102.74318,569,5788,290.83774,284.17337,False
112,49.41164,-102.74318,569,5788,290.83774,284.17337,False
113,49.41164,-102.74318,569,5788,290.83774,284.17337,False
114,49.40769,-102.746216,570,5788,290.75244,284.23468,False
115,49.40769,-102.746216,570,5788,290.75244,284.23468,False
116,49.40769,-102.746216,570,5788,290.75244,284.23468,False
117,49.40769,-102.746216,570,5788,290.75244,284.23468,False
118,49.40769,-102.746216,570,5788,290.75244,284.23468,False
119,49.413925,-102.742516,577,5789,291.91016,283.90088,False
120,49.413925,-102.742516,577,5789,291.91016,283.90088,False
121,49.413925,-102.742516,577,5789,291.91016,283.90088,False
122,49.413925,-102.742516,577,5789,291.91016,283.90088,False
123,49.413925,-102.742516,577,5789,291.91016,283.90088,False
124,49.407417,-102.74695,578,5789,291.8411,284.1671,False
125,49.407417,-102.74695,578,5789,291.8411,284.1671,False
126,49.407417,-102.74695,578,5789,291.8411,284.1671,False
127,49.407417,-102.74695,578,5789,291.8411,284.1671,False
128,49.407417,-102.74695,578,5789,291.8411,284.1671,False
129,49.01335,-102.466255,655,5870,291.14185,286.08386,False
130,49.01335,-102.466255,655,5870,291.14185,286.08386,False
131,49.01335,-102.466255,655,5870,291.14185,286.08386,False
132,49.01335,-102.466255,655,5870,291.14185,286.08386,False
133,49.01335,-102.466255,655,5870,291.14185,286.08386,False
134,52.459736,-116.27112,661,3556,292.3833,280.04562,False
135,52.459736,-116.27112,661,3556,292.3833,280.04562,False
136,52.459736,-116.27112,661,3556,292.3833,280.04562,False
137,52.459736,-116.27112,661,3556,292.3833,280.04562,False
138,52.461514,-116.30103,662,3551,301.94604,281.01788,False
139,52.461514,-116.30103,662,3551,301.94604,281.01788,False
140,52.461514,-116.30103,662,3551,301.94604,281.01788,False
141,52.461514,-116.30103,662,3551,301.94604,281.01788,False
142,52.461514,-116.30103,662,3551,301.94604,281.01788,False
143,52.45926,-116.30826,663,3550,292.87585,281.2566,False
144,52.45926,-116.30826,663,3550,292.87585,281.2566,False
145,52.45926,-116.30826,663,3550,292.87585,281.2566,False
146,52.45926,-116.30826,663,3550,292.87585,281.2566,False
147,52.45926,-116.30826,663,3550,292.87585,281.2566,False
148,52.458252,-116.302574,663,3551,318.57715,284.90698,False
149,52.458252,-116.302574,663,3551,318.57715,284.90698,False
150,52.458252,-116.302574,663,3551,318.57715,284.90698,False
151,52.458252,-116.302574,663,3551,318.57715,284.90698,False
152,52.458252,-116.302574,663,3551,318.57715,284.90698,False
153,52.457245,-116.296906,663,3552,304.8481,281.76553,False
154,52.457245,-116.296906,663,3552,304.8481,281.76553,False
155,52.457245,-116.296906,663,3552,304.8481,281.76553,False
156,52.457245,-116.296906,663,3552,304.8481,281.76553,False
157,52.457245,-116.296906,663,3552,304.8481,281.76553,False
158,52.452976,-116.29278,664,3553,292.11395,280.8073,False
159,52.452976,-116.29278,664,3553,292.11395,280.8073,False
160,52.452976,-116.29278,664,3553,292.11395,280.8073,False
161,52.452976,-116.29278,664,3553,292.11395,280.8073,False
162,52.45197,-116.28711,664,3554,294.31476,281.98315,False
163,52.45197,-116.28711,664,3554,294.31476,281.98315,False
164,52.45197,-116.28711,664,3554,294.31476,281.98315,False
165,52.45197,-116.28711,664,3554,294.31476,281.98315,False
166,52.45197,-116.28711,664,3554,294.31476,281.98315,False
167,52.44995,-116.275764,664,3556,292.01202,279.91925,False
168,52.44995,-116.275764,664,3556,292.01202,279.91925,False
169,52.44995,-116.275764,664,3556,292.01202,279.91925,False
170,52.44995,-116.275764,664,3556,292.01202,279.91925,False
171,52.4477,-116.28299,665,3555,295.7658,280.79675,False
172,52.4477,-116.28299,665,3555,295.7658,280.79675,False
173,52.4477,-116.28299,665,3555,295.7658,280.79675,False
174,52.4477,-116.28299,665,3555,295.7658,280.79675,False
175,52.4477,-116.28299,665,3555,295.7658,280.79675,False
176,52.446693,-116.277306,665,3556,299.1192,282.3412,False
177,52.446693,-116.277306,665,3556,299.1192,282.3412,False
178,52.446693,-116.277306,665,3556,299.1192,282.3412,False
179,52.446693,-116.277306,665,3556,299.1192,282.3412,False
180,52.446693,-116.277306,665,3556,299.1192,282.3412,False
181,52.445683,-116.27164,665,3557,304.08377,284.36993,False
182,52.445683,-116.27164,665,3557,304.08377,284.36993,False
183,52.445683,-116.27164,665,3557,304.08377,284.36993,False
184,52.445683,-116.27164,665,3557,304.08377,284.36993,False
185,52.445683,-116.27164,665,3557,304.08377,284.36993,False
186,52.44467,-116.26595,665,3558,301.51413,282.79395,False
187,52.44467,-116.26595,665,3558,301.51413,282.79395,False
188,52.44467,-116.26595,665,3558,301.51413,282.79395,False
189,52.44467,-116.26595,665,3558,301.51413,282.79395,False
190,52.44467,-116.26595,665,3558,301.51413,282.79395,False
191,52.441414,-116.267494,666,3558,309.0799,281.62512,False
